FACILITY_NAME,GHGRP_ID,ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY NAME,STATE,ZIP,GHG_QUANTITY,TYPE
"WIC Station 7938 Snake River, CO",1008148,18640 County Road 4,40.97969,-107.71353,Craig,MOFFAT COUNTY,CO,81625,1716,pe
WILLOW CREEK GAS PLANT,1002319,20219 County Road 5,39.977742,-107.763621,Rifle,RIO BLANCO,CO,81650,185969,pe
Wattenberg Gas Plant,1003254,1909 Powhaton Road,39.746431,-104.681535,Aurora,ADAMS,CO,80019,18031,pe
West Elk Mine,1010310,5174 Highway 133,38.92823,-107.44687,Somerset,GUNNISON COUNTY,CO,81434,485108,pe
XTO - PICEANCE CREEK,1002673,,39.8933,-108.1947,MEEKER,Rio Blanco,CO,81641,17350,pe
AMERICAN GYPSUM COMPANY,1007404,740 Highway #6,39.66067,-106.939169,GYPSUM,EAGLE,CO,81637,55649,fc
ANHEUSER BUSCH INCORPORATED FORT COLLINS BREWERY,1003352,2351 BUSCH DRIVE,40.619722,-105.006111,FORT COLLINS,LARIMER,CO,80524,51003,fc
Arapahoe Combustion Turbine Facility,1001360,2601 SOUTH PLATTE RIVER ROAD,39.6692,-105.0018,DENVER,Denver,CO,80223,58691,fc
Arkansas Loop & Simpson Treating Plants,1001760,,37.0532,-107.7855,DURANGO,La Plata,CO,81303,75195,fc
Atmel Corporation,1009792,1150 E. Cheyenne Mountain Boulevard,38.789076,-104.805626,Colorado Springs,EL PASO,CO,80906,16284,fc
Avago Technologies,1008734,4380 Ziegler Road,40.5236,-105.02021,Fort Collins,LARIMER COUNTY,CO,80525,10858,fc
"BARGATH, INC- HYRUP PROD FACILITY",1002944,,39.369139,-108.06329,PARACHUTE,Garfield,CO,81635,16342,fc
"BARGATH, INC.- PARACHUTE",1002943,,39.487297,-108.111356,"PARACHUTE, 3.4 MI NW OF",Garfield,CO,81635,147772,fc
BROADACRE LANDFILL - FOUNTAIN LANDFILL,1006464,10000 SQUIRREL CREEK RD,38.679516,-104.628161,FOUNTAIN,EL PASO,CO,80817,11,fc
Bargath LLC - Crawford Trail CS,1002945,,39.503457,-108.184214,Parachute,Garfield,CO,81635,28499,fc
Big Hole Compressor Station,1011077,37607 County Road 7,40.768594,-107.763621,Craig,MOFFAT COUNTY,CO,81625,2827,fc
Blue Spruce Energy Center,1000141,1751 N POWHATON RD,39.7436,-104.68,AURORA,Adams,CO,80019,266600,fc
Bondad Compressor Station,1001759,,37.0881,-107.8829,DURANGO,La Plata,CO,81301,20305,fc
Brush Power Projects,1001224,1500 S CLAYTON,40.2415,-103.631,BRUSH,Morgan,CO,80723,22696,fc
CARESTREAM HEALTH INC.,1007717,2000 HOWARD SMITH AVE WEST,40.4584,-104.87399,WINDSOR,WELD COUNTY,CO,80550,30999,fc
CARGILL MEAT SOLUTIONS CORPORATION,1000357,1505 EAST BURLINGTON AVENUE,40.2469,-103.7756,FORT MORGAN,MORGAN COUNTY,CO,80701,26332,fc
CEMEX CONSTRUCTION MATERIALS SOUTH LLC,1007877,5134 UTE HIGHWAY,40.202236,-105.236697,LYONS,BOULDER,CO,80540,4161,fc
CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,1003902,2100 SOUTH FREEWAY,38.232627,-104.607257,PUEBLO,PUEBLO,CO,81004,151967,fc
"CIG Station 5320 Fort Lupton, CO",1010489,15732 Weld County Road 16,40.130922,-104.758947,Ft. Lupton,WELD,CO,80261,24136,fc
"CIG Station 5560 Kit Carson, CO",1001994,3073 US HIGHWAY 287,38.413345,-102.759485,EADS,KIOWA,CO,81036,17565,fc
"CIG Station 5610 Greasewood, CO",1008151,5200 County Road 3,39.854648,-108.105434,Rifle,GARFIELD,CO,81650,27167,fc
"CIG Station 5850 Cheyenne, CO",1002127,65657 Highway 85,40.908951,-104.892167,CARR,WELD,CO,80612,55705,fc
"CIG Station 5950 Watkins, CO",1002061,24650 East Smith Road,39.745283,-104.698908,AURORA,ADAMS,CO,80019,31449,fc
COLORADO STATE UNIVERSITY,1004581,6030 Campus Delivery,40.57,-105.09,FORT COLLINS,LARIMER,CO,80523,42745,fc
Callahan Compressor Station,1002873,,39.468423,-108.08675,PARACHUTE,Garfield,CO,81635,26024,fc
Central Treating Facility,1004824,,39.8338,-108.2957,Meeker,Rio Blanco,CO,81641,38973,fc
Cherokee,1007207,6198 FRANKLIN ST,39.8078,-104.9648,DENVER,Adams,CO,80216,3058144,fc
Clough Compressor Station,1003022,,39.51861,-107.889912,RIFLE,Garfield,CO,81650,24413,fc
Colorado Energy Nations Company LLC (Golden Facility),1003568,1003 Vasquez Street,39.760555,-105.215,GOLDEN,JEFFERSON,CO,80401,379090,fc
Colorado Springs Landfill,1008019,1010 Blaney Road,38.847491,-104.572053,Colorado Springs,EL PASO,CO,80929,479,fc
Comanche (470),1001462,2005 LIME RD,38.2081,-104.5747,PUEBLO,Pueblo,CO,81006,8424502,fc
Compressor Station 601,1002406,37500 County Rd 78,40.994389,-102.855976,Peetz,LOGAN,CO,80747,56412,fc
Conn Creek Compressor Station,1007414,,39.4819,-108.2479,De Beque,Garfield,CO,81630,32910,fc
Cottonwood Point Compressor Station,1003011,,39.481874,-107.991952,PARACHUTE,Garfield,CO,81635,30408,fc
Coyote Gulch Treating Plant,1001946,,37.0141,-108.0615,DURANGO,La Plata,CO,81301,41543,fc
Craig,1001008,2101 S RANNEY,40.4627,-107.5912,CRAIG,Moffat,CO,81626,8213834,fc
DEBEQUE GAS PROCESSING FACILITY,1011635,,39.3269,-108.2431,De Beque,Mesa,CO,81630,20377,fc
DENVER ARAPAHOE DISPOSAL SITE-A WASTE MANAGEMENT COMPANY,1007709,3500 SOUTH GUN CLUB ROAD,39.64566,-104.70914,AURORA,ARAPAHOE COUNTY,CO,80018,909,fc
DENVER INTERNATIONAL AIRPORT,1004796,8500 PENA BOULEVARD,39.83425,-104.70436,DENVER,DENVER,CO,80249,27704,fc
ENCANA OIL AND GAS USA - DRAGON TRAIL GAS PLANT - 08-103-00036,1003447,3606 COUNTY ROAD 116,39.859473,-108.915996,RANGELY,RIO BLANCO,CO,81648,18773,fc
ENTERPRISE COMPRESSOR STATION,1002666,10002 Weld County Road 59,40.191,-104.4877,LaSalle,WELD,CO,80645,47367,fc
EPNG Station 6210 Bondad,1002116,2227 County Road 318,37.096339,-107.769381,Ignacio,LA PLATA,CO,81137,40486,fc
Eagle Valley Clean Energy,1011681,10775 HWY 6,39.646803,-106.940343,Gypsum,EAGLE COUNTY,CO,81637,28,fc
FORT CARSON USARMY,1007910,"1626 Evans Street, Bldg 1219",38.76408,-104.79509,Fort Carson,EL PASO,CO,80913,55972,fc
FRONT RANGE ENERGY,1006942,31375 GREAT WESTERN DRIVE,40.455978,-104.857553,WINDSOR,WELD,CO,80550,36283,fc
Florida River Gas Processing Facility,1003223,2906 CR 307,37.15639,-107.77978,Durango,LA PLATA,CO,81303,61078,fc
Fort Lupton Compressor Station,1001977,,40.1434,-104.7515,Brighton,Weld,CO,80601,182229,fc
Fort St. Vrain,1001029,16805 WELD CR 19 12,40.2461,-104.8742,PLATTEVILLE,Weld,CO,80651,1496881,fc
Fountain Valley Power Plant,1007383,18693 Boca Raton Heights,38.5569,-104.6875,Fountain,El Paso,CO,80817,184636,fc
Frank Knutson Station,1000061,13501 POWHATEN ROAD,39.9414,-104.6817,COMMERCE CITY,Adams,CO,80022,4849,fc
Fredrick Compressor Station,1002206,,40.0573,-104.8852,Brighton,Weld,CO,80601,52200,fc
Front Range Power Plant,1001400,6615 GENERATION DRIVE,38.6281,-104.7069,FOUNTAIN,El Paso,CO,80817,758913,fc
GCC RIO GRANDE INC,1003067,3372 LIME ROAD,38.1507,-104.62595,PUEBLO,PUEBLO,CO,81004,965,fc
GREELEY GAS PLANT,1006310,3009 WEST 49TH STREET,40.38812,-104.76003,GREELEY,WELD COUNTY,CO,80634,32251,fc
GRG - EAST MAMM CREEK CS,1003630,,39.4894897,-107.7232517,"RIFLE, 2.0 MI SE OF",Garfield,CO,81650,28886,fc
GRG - HIGH MESA CS,1006331,,39.395581,-108.0590714,PARACHUTE,Garfield,CO,81635,26475,fc
GRG - HUNTER MESA CS,1006001,,39.4686107,-107.7153515,"RIFLE, 3.3 MI SE OF",Garfield,CO,81650,33019,fc
GRG - MAMM CREEK CS,1006003,,39.4894897,-107.7232517,RIFLE,Garfield,CO,81650,15199,fc
GRG - PUMBA CS,1006004,,39.4649163,-107.7564733,"RIFLE, 3.6 MI S OF",Garfield,CO,81650,30802,fc
HOLMES MESA CMP STN,1003252,,39.467984,-107.926867,RULISON,Garfield,CO,81650,44975,fc
Hambert Compressor Station,1011533,18450 Weld County Road 35,40.2696,-104.724297,Gilcrest,WELD,CO,80623,31186,fc
Hayden,1001466,12795 E YUTE,40.4856,-107.185,HAYDEN,Routt,CO,81639,3089050,fc
Hayes Gulch Compressor Station,1003014,,39.466732,-108.051398,PARACHUTE,Garfield,CO,81635,25845,fc
Heath Compressor Station,1002936,,39.497639,-107.884743,RIFLE,Garfield,CO,81650,37520,fc
Holcim (US) Inc. - Portland Plant,1003008,3500 Highway 120,38.386936,-105.039244,Florence,FREMONT,CO,81226,931,fc
Hudson Compressor Station,1002062,,40.2235,-104.7196,Brighton,Weld,CO,80601,72096,fc
IGNACIO GAS PLANT,1002532,3746 CR 307,37.144682,-107.784839,DURANGO,LA PLATA,CO,81301,245418,fc
J.M. Shafer Generating Station,1000559,6811 Weld County Road #31,40.0979,-104.7745,FORT LUPTON,Weld,CO,80621,339265,fc
JBS Swift Beef Company - Greeley Plant,1004022,800 North 8th Avenue,40.44278,-104.69233,Greeley,WELD COUNTY,CO,80632,55182,fc
Jackrabbit Compressor Station,1005036,13064 Garden Gulch Rd.,39.485628,-108.095435,Parachute,GARFIELD,CO,81635,22232,fc
Koch Meeker Gas Plant,1010030,929 Penny Dr,39.977742,-107.763621,Meeker,RIO BLANCO COUNTY,CO,81641,15908,fc
LA PLATA \A\ CMP STN,1005882,3775 COUNTY ROAD 307,37.143579,-107.786771,DURANGO,LA PLATA,CO,81301,17943,fc
LADDER CREEK HELIUM PLANT,1002352,41707 COUNTY ROAD P,39.014999,-102.413156,CHEYENNE WELLS,CHEYENNE,CO,80810,32979,fc
LARIMER COUNTY LANDFILL,1005928,5887 SOUTH TAFT HILL ROAD,40.49803,-105.12032,FORT COLLINS,LARIMER COUNTY,CO,80526,43,fc
LINDE LLC CORTEZ PLANT,1007715,14207  RD G,37.327457,-109.017397,CORTEZ,MONTEZUMA,CO,81321,916,fc
LUCERNE GAS PLANT,1002355,31495 COUNTY ROAD 43,40.457201,-104.664686,GREELEY,WELD,CO,80631,74450,fc
"Leprino Foods, Greeley",1006479,1302 1 st Avenue,40.416952,-104.675853,Greeley,WELD,CO,80631,38254,fc
Limon Generating Station,1000060,48303 STATE ROAD 71,39.2038,-103.7005,LIMON,Lincoln,CO,80828,20244,fc
MARLA COMPRESSOR STATION,1006309,,40.2767,-104.5475,KERSEY,Weld,CO,80644,29247,fc
MEWBOURN GAS PLANT,1006131,18455 WELD COUNTY RD 35,40.266583,-104.734944,GILCREST,WELD,CO,80623,158519,fc
MVS Compressor Station,1001716,69861 Highway 330E,39.277176,-107.74001,Collbran,MESA,CO,81624,15501,fc
Manchief Generating Station,1001327,14936 COUNTY ROAD 24,40.2201,-103.679,BRUSH,Morgan,CO,80723,108886,fc
Martin Drake,1001465,700 S CONEJOS ST,38.8244,-104.8331,COLORADO SPRINGS,El Paso,CO,80903,1650120,fc
Mead Compressor Station,1011898,,40.18097,-104.871885,Platteville,Weld,CO,80651,25693,fc
Meeker Compressor Station,1002912,26100 CR 5,39.891773,-108.290437,Rifle,GARFIELD,CO,81650,23957,fc
Meeker Gas Plant,1004822,27991 County Rd 5,39.910727,-108.294316,Rifle,GARFIELD,CO,81650,105809,fc
Midway Landfill,1007863,8925 Rancho Colorado Boulevard,38.547492,-104.661847,Fountain,PUEBLO,CO,80817,240,fc
